event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,has_fatalities,event_week,event_month
UKR212223,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Prydniprovske,46.6778,32.7892,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Prydniprovske, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212222,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Sumy,Sumskyi,Porozok,50.562,35.373,Ministry of Defence of Ukraine,"On 3 March 2025, Russian Forces shelled Porozok, Sumy, with suspected 120mm mortars and 122mm artillery. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212221,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Odradokamianka,46.7876,33.3023,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Odradokamianka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212220,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Novodmytrivka,46.6107,32.3158,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Novodmytrivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212219,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Novoberyslav,46.8576,33.4881,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Novoberyslav, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212217,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Nadezhdivka,46.7056,32.3618,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Nadezhdivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212216,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Donetsk,Pokrovskyi,Myrnohrad,48.2959,37.2704,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Myrnohrad, Donetsk, damaging a hospital's surgery department. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212215,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Beryslavskyi,Mykolaivka,46.7875,33.2551,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Mykolaivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212230,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Unknown,Ukraine,Kherson,Khersonskyi,Zelenivka,46.7151,32.6446,Suspilne Media,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Zelenivka, Kherson. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR212214,2025-03-03,2025,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Kherson,Beryslavskyi,Mykhailivka,47.313,33.9578,Ministry of Defence of Russia,"On 3 March 2025, Russian Forces struck (likely by shelling as the most common event) Ukrainian positions near Mykhailivka, Kherson. According to Russian sources, 60 Ukrainian soldiers, including from the territorial defense units (coded to Sadove), were killed in the area of Sadove, Mykhailivka and Mali Scherbaky [Russian MoD reported 60 fatalities. Coded as 10 fatalities split across 3 events. 3 fatalities coded to this event].",3,True,2025-03-03/2025-03-09,2025-03
IRN30520,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Kerman,Sirjan,Sirjan,29.4514,55.6809,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),"On 3 March 2025, more than 300 employees of the Sirjan Iranian Steel Company rallied in front of the county Governor's office in Sirjan city (Sirjan, Kerman) over low salaries and to demand the payment of wage arrears.",0,False,2025-03-03/2025-03-09,2025-03
IRN30517,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Kurdistan,Bijar,Bijar,35.8668,47.6051,Human Rights Activists in Iran (HRA),"On 3 March 2025, retirees of the telecommunication company staged a protest in front of the county telecommunication company's central office in Bijar city (Kurdistan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,False,2025-03-03/2025-03-09,2025-03
USA78213,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,St. Lawrence,Ogdensburg,44.6984,-75.4921,Fox28 (Watertown); NCPR; Spectrum News NY1,"On 3 March 2025, about a dozen prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Ogdensburg Correctional Facility and Riverview Correctional Facility in Ogdensburg (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78212,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Oneida,Marcy,43.1375,-75.2682,13WHAM ABC; Journal News; New York Daily News; Observer-Dispatch; Oneida Dispatch; Spectrum News NY1,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Marcy Correctional Facility and Mid-State Correctional Facility in Marcy (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78211,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,St. Lawrence,Gouverneur,44.3365,-75.4633,Fox28 (Watertown); Spectrum News NY1,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Gouverneur Correctional Facility in Gouverneur (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78210,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Chemung,Elmira,42.0853,-76.8092,Spectrum News NY1; WUTR ABC,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Elmira Correctional Facility in Elmira (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78209,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Clinton,Dannemora,44.7214,-73.7237,Press-Republican; Spectrum News NY1; WCAX Channel 3,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Clinton Correctional Facility in Dannemora (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. Local residents held a parade in solidarity with striking prison guards. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78208,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Greene,Coxsackie,42.3506,-73.8025,Spectrum News NY1; WTEN Channel 10,"On 3 March 2025, dozens of prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Coxsackie Correctional Facility in Coxsackie (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78207,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Erie,Collins,42.4953,-78.862,Buffalo News; Spectrum News NY1,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Collins Correctional Facility and Gowanda Correctional Facility in Collins (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78206,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Jefferson,Cape Vincent,44.124,-76.3296,Fox28 (Watertown); Spectrum News NY1,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Cape Vincent Correctional Facility in Cape Vincent (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78205,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Cayuga,Auburn,42.9333,-76.5667,Oneida Dispatch; Spectrum News NY1,"On 3 March 2025, prison workers with The New York State Correctional Officers and Police Benevolent Association, former correctional officers, and supporters rallied outside of Auburn Correctional Facility in Auburn (New York) as part of a strike to oppose the HALT Act and to demand safer working conditions. This was the 15th day of the prison guard strike in New York State. On this day, officials started firing striking workers.",0,False,2025-03-03/2025-03-09,2025-03
USA78204,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Albany,Albany,42.6504,-73.7591,Local 22 (Burlington); News 8 (Rochester),"On 3 March 2025, protesters with the Alliance to Protect Kalief's Law and public defenders demonstrated at the Capitol in Albany (New York) to oppose changes to Discovery reforms which would deny defense access to the state's evidence until the eve of trial. Members of the Families and Friends of the Wrongfully Convicted, NAACP NY, Freedom Agenda, Citizen Action NY, the Bail Project, Chief Defenders Association of NY, NYS Defenders Association, NYS Association of Criminal Defense Lawyers, National Association of Criminal Defense Lawyers, Erie County New York Assigned Counsel Program, Monroe County Assigned Counsel Program, Ontario County Public Defender, Wayne County Public Defender, Legal Aid Bureau of Buffalo, Albany County Public Defender's Office, Westchester County Legal Aid Society, St. John's University School of Law Defense and Advocacy Clinic, Nassau County Legal Aid Society, the Perlmutter Center for Legal Justice at Cardozo School of Law, the Bronx Defenders, Queens Defenders, Brooklyn Defender Services, New York County Defender Services, Neighborhood Defender Service of Harlem, New Hour for Women and Children, and the NYS Council on Churches.",0,False,2025-03-03/2025-03-09,2025-03
USA78203,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Connecticut,New Haven,West Haven,41.2724,-72.9503,News12 (Norwalk),"On 3 March 2025, around 150 hospital employees, veterans, and Department of Veterans Affairs workers rallied in front of the VA Medical Center in West Haven (Connecticut) to demonstrate against the Trump administration's cuts to vet services, which they say would eliminate such services as suicide hotline, assessments of veterans' disability ratings, cancer care, and toxic burn pit treatment.",0,False,2025-03-03/2025-03-09,2025-03
USA78202,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,Ontario,Canandaigua,42.8875,-77.2817,10NBC; 13WHAM ABC,"On 3 March 2025, hundreds of local residents and members of Indivisible demonstrated in front of Rep. Claudia Tenney's office in Canandaigua (New York) to demand the representative pay more attention to her constituents. Pro-Palestinian protesters also condemned Tenney for her support of Trump's plan to overtake Palestine amid the Israel-Hamas war which began in October 2023.",0,False,2025-03-03/2025-03-09,2025-03
USA78201,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,If Not Now Movement; PIX11,"On 3 March 2025, dozens to hundreds of protesters and members of the Jewish community and If Not Now Movement held a march and demonstrated at the Anti-Defamation League conference at the Javits Center in New York - Manhattan (New York) to condemn the ADL for its alleged ties to the Trump administration and to demonstrate against Elon Musk and Donald Trump, condemning them for creating an 'authoritarian system.'",0,False,2025-03-03/2025-03-09,2025-03
USA78200,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Connecticut,Hartford,Hartford,41.7673,-72.6762,Connecticut Post; CT Insider; WTNH Channel 8,"On 3 March 2025, a hundred students and members of Connecticut Students for a Dream, Comunidades Sin Fronteras, and the American Civil Liberties Union of Connecticut marched from City Hall to the State House in Hartford (Connecticut) to support immigration and to call for an expansion of Connecticut's Trust Act. Hartford Mayor Arunan Arulampalam (D) spoke at the march.",0,False,2025-03-03/2025-03-09,2025-03
IRN30519,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Zanjan,Zanjan,Zanjan,36.6764,48.4963,Human Rights Activists in Iran (HRA),"On 3 March 2025, retirees of the telecommunication company staged a protest in front of the provincial telecommunication company's central office in Zanjan city (Zanjan, Zanjan) over their ongoing dispute with the company regarding insurance premium rates and to demand payment of pension arrears.",0,False,2025-03-03/2025-03-09,2025-03
IND179630,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (India),Unknown,India,Punjab,Ludhiana,Gaunsgarh,30.9723,75.934,Hindustan Times,"On 3 March 2025, local people staged a protest 'second day' along the road in Gaunsgarh village (Ludhiana, Punjab) over suspicions of illegal mining at the Rorh Cluster site.",0,False,2025-03-03/2025-03-09,2025-03
IND179642,2025-03-03,2025,Political violence,Violence against civilians,Attack,Police Forces of India (2014-) Border Security Force,Civilians (Pakistan),India,Punjab,Amritsar,Kot Razada,31.9357,74.811,Asian News International,"On 3 March 2025, the Border Security Force shot and killed a Pakistani intruder at the India-Pakistan Border near Kot Razada village (Amritsar, Punjab).",1,True,2025-03-03/2025-03-09,2025-03
USA78108,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (United States),Unknown,United States,Kansas,Sedgwick,Wichita,37.6869,-97.3309,KAKEland,"On 3 March 2025, dozens of protesters gathered outside the Wichita State University campus in Wichita (Kansas) to protest against Elon Musk and Donald Trump, along with the actions of the newly created Department of Government Efficiency (DOGE). Protesters also demonstrated their support for Ukraine. Protesters held signs that called for an end to DOGE and the removal of President Trump from office. This demonstration coincided with Senator Jerry Moran's visit to the university.",0,False,2025-03-03/2025-03-09,2025-03
IRN30486,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Khuzestan,Shush,Haft Tappeh,32.0837,48.41,Human Rights Activists in Iran (HRA); Iranian Labour News Agency,"On 3 March 2025, seasonal agricultural workers rallied at the Haft Tappeh Sugarcane Agro-Industry Company in Haft Tappeh city (Shush, Khuzestan) to protest against the failure to amend their contracts.",0,False,2025-03-03/2025-03-09,2025-03
IRN30487,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Isfahan,Isfahan,Varzaneh,32.4196,52.6483,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),"On 3 March 2025, local farmers with their tractors rallied in Varzaneh city (Varzaneh, Isfahan) to demand water rights and access to the Zayandeh Roud River for agriculture.",0,False,2025-03-03/2025-03-09,2025-03
RUS32974,2025-03-03,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Russia,Kursk,Sudzhanskiy,Kazach'ya-Loknya,51.2413,35.2511,Ministry of Defence of Russia,"On 3 March 2025, Russian troops supported by artillery and aviation and Ukrainian forces clashed near Kazach'ya-Loknya (Sudzhanskiy, Kursk). According to the Russian MoD, Russian troops defeated Ukrainian troops from heavy mechanized, mechanized, motorized infantry, assault, airborne assault, and territorial defense brigades (coded to Lebedevka). Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
IRN30493,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Gilan,Rasht,Rasht,37.2761,49.5886,Free Union of Iranian Workers; Human Rights Activists in Iran (HRA),"On 3 March 2025, health workers and nurses held a rally outside the Vice President for Management Development at the University of Medical Sciences in Rasht city (Rasht, Gilan) over the discrimination, inequality and injustice in their income and wages.",0,False,2025-03-03/2025-03-09,2025-03
IRN30494,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Khuzestan,Shush,Shush,32.1942,48.2436,Eteraze Bazar,"On 3 March 2025, health workers held a rally in Shush city (Shush, Khuzestan) over their unmet demands.",0,False,2025-03-03/2025-03-09,2025-03
IRN30495,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Chaharmahal and Bakhtiari,Ardal,Ardal,31.9997,50.6623,Eteraze Bazar,"On 3 March 2025, health workers held a rally in Ardal city (Ardal, Chaharmahal and Bakhtiari) over low overtime pay for healthcare personnel, delayed payment of benefits, and withheld housing allowances.",0,False,2025-03-03/2025-03-09,2025-03
IRN30511,2025-03-03,2025,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Unknown,Iran,Fars,Mohr,Khowshabad,27.4739,52.9553,Human Rights Activists in Iran (HRA),"On 3 March 2025, workers employed at the Pars Oil and Gas Company protested outside their working place at the Parsian Gas Refinery Company in Khowshabad village (Mohr, Fars) to demand the determination of the salary ceiling, the accountability of the responsible officials, the removal of incompetent managers, the removal of the limitation of retirement years, the full implementation of Article 10 and the payment of their salary arrears.",0,False,2025-03-03/2025-03-09,2025-03
